Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Slurry Aliquot (ml),Vol,pan,pan_drymass,drymass,pan_burned_mass,AFDW_g.ml,AFDW_gdw
M-2-22,Montipora,2,T3,Control,Heated,1,25,0.4244,0.4333,0.0089,0.4294,0.005,0.0975
M-3-22,Montipora,3,T3,Control,Heated,1,25,0.4216,0.4293,0.0077,0.4261,0.0045,0.08
M-4-5,Montipora,4,T3,Control,Heated,1,25,0.419,0.4253,0.0063,0.4227,0.0037,0.065
M-5-22,Montipora,5,T3,Control,Heated,1,25,0.4148,0.4196,0.0048,0.4173,0.0025,0.0575
M-7-22,Montipora,7,T3,Control,Heated,1,25,0.424,0.4304,0.0064,0.4284,0.0044,0.05
M-8-22,Montipora,8,T3,Control,Heated,1,25,0.4193,0.4269,0.0076,0.4233,0.004,0.09
M-9-22,Montipora,9,T3,Control,Heated,1,25,0.4202,0.4297,0.0095,0.4255,0.0053,0.105
M-1-25,Montipora,1,T3,Effluent,Heated,1,25,0.4189,0.4273,0.0084,0.4236,0.0047,0.0925
M-2-25,Montipora,2,T3,Effluent,Heated,1,25,0.4219,0.4289,0.007,0.4258,0.0039,0.0775
M-3-25,Montipora,3,T3,Effluent,Heated,1,25,0.4247,0.4318,0.0071,0.4287,0.004,0.0775
M-4-25,Montipora,4,T3,Effluent,Heated,1,25,0.4172,0.4245,0.0073,0.4215,0.0043,0.075
M-5-25,Montipora,5,T3,Effluent,Heated,1,25,0.4204,0.4263,0.0059,0.4235,0.0031,0.07
M-6-25,Montipora,6,T3,Effluent,Heated,1,25,0.4185,0.4284,0.0099,0.4244,0.0059,0.1
M-7-25,Montipora,7,T3,Effluent,Heated,1,25,0.4217,0.4286,0.0069,0.4256,0.0039,0.075
M-8-25,Montipora,8,T3,Effluent,Heated,1,25,0.4239,0.4325,0.0086,0.4282,0.0043,0.1075
M-9-25,Montipora,9,T3,Effluent,Heated,1,25,0.4223,0.4311,0.0088,0.4269,0.0046,0.105
M-1-24,Montipora,1,T3,Guano,Heated,1,25,0.4233,0.4276,0.0043,0.4259,0.0026,0.0425
M-2-24,Montipora,2,T3,Guano,Heated,1,25,0.4184,0.4241,0.0057,0.4215,0.0031,0.065
M-3-15,Montipora,3,T3,Guano,Heated,1,25,0.4203,0.426,0.0057,0.4236,0.0033,0.06
M-4-24,Montipora,4,T3,Guano,Heated,1,25,0.4239,0.4298,0.0059,0.427,0.0031,0.07
M-5-24,Montipora,5,T3,Guano,Heated,1,25,0.4205,0.425,0.0045,0.4228,0.0023,0.055
M-8-24,Montipora,8,T3,Guano,Heated,1,25,0.4219,0.4291,0.0072,0.4252,0.0033,0.0975
M-9-24,Montipora,9,T3,Guano,Heated,1,25,0.4204,0.4307,0.0103,0.4259,0.0055,0.12
M-1-23,Montipora,1,T3,Inorganic,Heated,1,25,0.4262,0.4309,0.0047,0.4286,0.0024,0.0575
M-2-23,Montipora,2,T3,Inorganic,Heated,1,25,0.4255,0.4313,0.0058,0.4287,0.0032,0.065
M-3-23,Montipora,3,T3,Inorganic,Heated,1,25,0.4205,0.4283,0.0078,0.4245,0.004,0.095
M-4-23,Montipora,4,T3,Inorganic,Heated,1,25,0.4237,0.4319,0.0082,0.428,0.0043,0.0975
M-5-23,Montipora,5,T3,Inorganic,Heated,1,25,0.4251,0.4306,0.0055,0.428,0.0029,0.065
M-6-23,Montipora,6,T3,Inorganic,Heated,1,25,0.4263,0.4302,0.0039,0.4287,0.0024,0.0375
M-7-7,Montipora,7,T3,Inorganic,Heated,1,25,0.4226,0.4302,0.0076,0.427,0.0044,0.08
M-8-23,Montipora,8,T3,Inorganic,Heated,1,25,0.4201,0.4279,0.0078,0.4239,0.0038,0.1
M-9-23,Montipora,9,T3,Inorganic,Heated,1,25,0.4248,0.4337,0.0089,0.4293,0.0045,0.11
P-1-21,Porites,1,T0,Control,Ambient,1,25,0.4233,0.4282,0.0049,0.4253,0.002,0.0725
P-2-21,Porites,2,T0,Control,Ambient,1,25,0.4261,0.433,0.0069,0.4287,0.0026,0.1075
P-3-21,Porites,3,T0,Control,Ambient,1,25,0.4256,0.4314,0.0058,0.428,0.0024,0.085
P-4-21,Porites,4,T0,Control,Ambient,1,25,0.4222,0.4276,0.0054,0.4243,0.0021,0.0825
P-5-21,Porites,5,T0,Control,Ambient,1,25,0.4279,0.4319,0.004,0.4295,0.0016,0.06
P-6-21,Porites,6,T0,Control,Ambient,1,25,0.4219,0.4304,0.0085,0.4257,0.0038,0.1175
P-7-21,Porites,7,T0,Control,Ambient,1,25,0.4233,0.4295,0.0062,0.4272,0.0039,0.0575
P-8-21,Porites,8,T0,Control,Ambient,1,25,0.4235,0.4324,0.0089,0.4267,0.0032,0.1425
P-9-21,Porites,9,T0,Control,Ambient,1,25,0.4204,0.427,0.0066,0.4225,0.0021,0.1125
P-1-3,Porites,1,T1,Control,Ambient,1,25,0.4211,0.4254,0.0043,0.4231,0.002,0.0575
P-2-3,Porites,2,T1,Control,Ambient,1,25,0.4241,0.4315,0.0074,0.4277,0.0036,0.095
P-3-3,Porites,3,T1,Control,Ambient,1,25,0.4142,0.4193,0.0051,0.4164,0.0022,0.0725
P-4-3,Porites,4,T1,Control,Ambient,1,25,0.4225,0.4303,0.0078,0.4255,0.003,0.12
P-5-3,Porites,5,T1,Control,Ambient,1,25,0.4205,0.4258,0.0053,0.4228,0.0023,0.075
